year,within_cohesion,within_cohesion_sd,bloc,alignment_with_US,alignment_with_China,US_minus_China
2014,0.9509885937569842,0.02188351368874761,ASEAN,0.26329612344589687,0.9609886528140594,-0.6976925293681625
2015,0.9500427528483024,0.022717424727651273,ASEAN,0.31735139284887315,0.9134483566498615,-0.5960969638009883
2016,0.920638920951945,0.04111381094105651,ASEAN,0.3438857677559104,0.8100279030178923,-0.46614213526198195
2017,0.9632882376932698,0.01998784607768656,ASEAN,0.18766546683428248,0.7939647068824405,-0.606299240048158
2018,0.9117934195296776,0.043996719218386854,ASEAN,0.13002929913049724,0.7445552647311755,-0.6145259656006782
2019,0.9012289756681305,0.04925166333821504,ASEAN,0.13660695556079616,0.6375827684269203,-0.5009758128661241
2020,0.9334383905443763,0.030355796952796377,ASEAN,0.37486622937075725,0.6452735866585625,-0.27040735728780524
2021,0.9121229194608068,0.0425074776247848,ASEAN,0.2937265623387845,0.5880329111332119,-0.2943063487944274
2022,0.9197853737202981,0.04404228199714874,ASEAN,0.4169865285600061,0.7684686365145297,-0.35148210795452356
2023,0.9134653032261558,0.04993726237409877,ASEAN,0.3926525775089181,0.538645201147164,-0.14599262363824586
2024,0.9169692646275903,0.05179812665366576,ASEAN,0.2656321305569084,0.7628144005728994,-0.49718227001599097
1990,0.8369094406448754,0.15775041419253114,Global South,0.2995530131507341,0.8404432059620097,-0.5408901928112756
1991,0.8056021697582555,0.18522173545404746,Global South,0.2723027641161783,0.812533556973185,-0.5402307928570066
1992,0.8050123493076603,0.17884010982213222,Global South,0.2961027513048313,0.842604268966293,-0.5465015176614617
1993,0.7435613017445815,0.19903147654331416,Global South,0.2862911013011874,0.7349807270111463,-0.4486896257099589
1994,0.7360288789605012,0.18601694960042958,Global South,0.2407332948348221,0.7306896058016292,-0.4899563109668071
1995,0.7688173878850834,0.16582083817553597,Global South,0.5076927731844966,0.7979990248663429,-0.2903062516818464
1996,0.7623833736745599,0.20787061902014028,Global South,0.28084252974709134,0.8065054592100178,-0.5256629294629265
1997,0.7738878723726749,0.20099580007045154,Global South,0.28382681134038545,0.8310761115085553,-0.5472493001681699
1998,0.7884602925816772,0.19456389213638633,Global South,0.26395054121012396,0.8555714416461853,-0.5916209004360613
1999,0.7769907677532251,0.20554546697791762,Global South,0.4004979697872981,0.8513104859153487,-0.4508125161280507
2000,0.8579948708224875,0.14146085814917086,Global South,0.6273405265609568,0.8860920862639929,-0.25875155970303615
2001,0.791543591276166,0.1868683750707798,Global South,0.4993411634079466,0.8288427222034556,-0.32950155879550896
2002,0.8105523699392432,0.1620337680394441,Global South,0.5270611046392794,0.8455332266388335,-0.3184721219995541
2003,0.8187103697502105,0.1853102188038317,Global South,0.3519718774854688,0.8301262676106398,-0.4781543901251709
2004,0.8256188009240646,0.17489750825204994,Global South,0.4081835649364242,0.8335863099564897,-0.4254027450200656
2005,0.7959944144207685,0.2019341143031574,Global South,0.29586221460758794,0.82503080571097,-0.5291685911033821
2006,0.7959775366623046,0.21016669784811917,Global South,0.28745604195250296,0.8139016395768774,-0.5264455976243745
2007,0.8142270599815786,0.2068898772263142,Global South,0.29128854447669145,0.8378069758234056,-0.5465184313467142
2008,0.7847324690440528,0.19387906673049946,Global South,0.29765344472379324,0.8082916572709151,-0.5106382125471219
2009,0.8002555962038334,0.20587237048852056,Global South,0.5133276441340046,0.7962409878081594,-0.2829133436741549
2010,0.8425513372619271,0.17350399458327112,Global South,0.5862238163214387,0.8544362373062311,-0.2682124209847924
2011,0.8205458361371689,0.2001815154922689,Global South,0.5482855567873148,0.8632573146744699,-0.31497175788715503
2012,0.7978245641265217,0.2179326409851698,Global South,0.3860349354910642,0.864657022494327,-0.4786220870032627
2013,0.7632992860682618,0.21039601335039898,Global South,0.4319187464535968,0.8303688585817691,-0.3984501121281724
2014,0.7739198737264473,0.2211650498027209,Global South,0.35966367980120956,0.8255903535270865,-0.4659266737258769
2015,0.7851411960207064,0.21808782186571654,Global South,0.4085143783935951,0.8545441549216246,-0.4460297765280295
2016,0.7420383016314832,0.2031360992817664,Global South,0.4267778013129784,0.7737993116468589,-0.34702151033388057
2017,0.8019023667025441,0.22835495493037447,Global South,0.30289312623142384,0.7910577123314683,-0.48816458610004443
2018,0.761097715873887,0.19582485990343784,Global South,0.20958050831669653,0.6826687855000779,-0.47308827718338137
2019,0.7413505156007937,0.22156800570370988,Global South,0.2244302250373041,0.5787402391333956,-0.3543100140960915
2020,0.7832224301152314,0.1827225331123584,Global South,0.45415199087980246,0.601442738827168,-0.1472907479473656
2021,0.7379800378922309,0.2132492998462656,Global South,0.3722890059041068,0.5509980842427726,-0.17870907833866587
2022,0.7619200588438585,0.2095526837540639,Global South,0.48020882902430073,0.7225977887624336,-0.2423889597381329
2023,0.7315860714961498,0.21084225290196598,Global South,0.4352662211318323,0.5450596496339313,-0.10979342850209897
2024,0.7350714657692842,0.254656283879207,Global South,0.33508383690688404,0.7111931492833253,-0.3761093123764413
