year,cohesion,n_pairs,group,alignment_with US,alignment_with China
1977,0.7657083908073185,506,NATO,NA,NA
1978,0.7640937811822873,506,NATO,NA,NA
1979,0.7144780574746689,506,NATO,NA,NA
1980,0.7158943980654776,506,NATO,NA,NA
1981,0.7390548409687344,506,NATO,NA,NA
1982,0.7274646086533841,506,NATO,NA,NA
1983,0.7189119534740184,506,NATO,NA,NA
1984,0.7129389924042552,506,NATO,NA,NA
1985,0.7099956825676738,506,NATO,NA,NA
1986,0.718049784903247,506,NATO,NA,NA
1987,0.7559340500965479,506,NATO,NA,NA
1988,0.7457088499344121,506,NATO,NA,NA
1989,0.7710714157775314,506,NATO,NA,NA
1990,0.8253359687673829,506,NATO,NA,NA
1991,0.8890442005906322,650,NATO,NA,NA
1992,0.9138872651948282,756,NATO,NA,NA
1993,0.9050762149973024,930,NATO,NA,NA
1994,0.9257401757856784,930,NATO,NA,NA
1995,0.9297734902783046,930,NATO,NA,NA
1996,0.931971709918973,930,NATO,NA,NA
1997,0.9283811293995814,930,NATO,NA,NA
1998,0.9401237133687599,930,NATO,NA,NA
1999,0.9339599202211122,930,NATO,NA,NA
2000,0.9403506762032258,930,NATO,NA,NA
2001,0.9389470376559894,930,NATO,NA,NA
2002,0.9375514706384858,930,NATO,NA,NA
2003,0.9230236016427213,930,NATO,NA,NA
2004,0.9346059954589185,930,NATO,NA,NA
2005,0.9265938829841542,930,NATO,NA,NA
2006,0.9409079831433206,992,NATO,NA,NA
2007,0.92838599108666,992,NATO,NA,NA
2008,0.9323390923310828,992,NATO,NA,NA
2009,0.9434885376779873,992,NATO,NA,NA
2010,0.9239117400599369,992,NATO,NA,NA
2011,0.9453935642051516,992,NATO,NA,NA
2012,0.9250179328148213,992,NATO,NA,NA
2013,0.9398504252509803,992,NATO,NA,NA
2014,0.919759110599268,992,NATO,NA,NA
2015,0.9174423625924137,992,NATO,NA,NA
2016,0.9348720082252113,992,NATO,NA,NA
2017,0.924837399708848,992,NATO,NA,NA
2018,0.914997859383777,992,NATO,NA,NA
2019,0.9268283944632116,992,NATO,NA,NA
2020,0.9193819917506567,992,NATO,NA,NA
2021,0.9394366020257524,992,NATO,NA,NA
2022,0.9575619935070977,992,NATO,NA,NA
2023,0.9468045206625929,992,NATO,NA,NA
2024,0.9124314220108639,992,NATO,NA,NA
1965,0.6937982768865122,42,ASEAN,NA,NA
1966,0.7660475254436181,56,ASEAN,NA,NA
1967,0.7755936660073198,56,ASEAN,NA,NA
1968,0.8164373251574237,56,ASEAN,NA,NA
1969,0.8349819231110543,56,ASEAN,NA,NA
1970,0.8891451368808996,56,ASEAN,NA,NA
1971,0.8945418867393233,56,ASEAN,NA,NA
1972,0.9084192947729418,56,ASEAN,NA,NA
1973,0.9581879568441791,56,ASEAN,NA,NA
1974,0.9163590145182384,56,ASEAN,NA,NA
1975,0.9138801670531569,56,ASEAN,NA,NA
1976,0.9513182722024345,56,ASEAN,NA,NA
1977,0.9320690272721184,56,ASEAN,NA,NA
1978,0.9301779650425617,72,ASEAN,NA,NA
1979,0.9242992444370982,72,ASEAN,NA,NA
1980,0.9056704725265379,72,ASEAN,NA,NA
1981,0.9159058778441928,72,ASEAN,NA,NA
1982,0.9024466487970169,72,ASEAN,NA,NA
1983,0.9112402834995655,72,ASEAN,NA,NA
1984,0.9145179132790018,90,ASEAN,NA,NA
1985,0.9114315741739285,90,ASEAN,NA,NA
1986,0.9191985215663093,90,ASEAN,NA,NA
1987,0.9582569736494402,90,ASEAN,NA,NA
1988,0.9648835070169869,90,ASEAN,NA,NA
1989,0.9708637917626768,90,ASEAN,NA,NA
1990,0.980147659286187,72,ASEAN,NA,NA
1991,0.9583612177206126,90,ASEAN,NA,NA
1992,0.9596391564238778,72,ASEAN,NA,NA
1993,0.9359516286009176,90,ASEAN,NA,NA
1994,0.9296369441899874,90,ASEAN,NA,NA
1995,0.9084384200233242,90,ASEAN,NA,NA
1996,0.9420370192517412,90,ASEAN,NA,NA
1997,0.962251135861568,90,ASEAN,NA,NA
1998,0.9596502917997168,72,ASEAN,NA,NA
1999,0.9498591368141024,90,ASEAN,NA,NA
2000,0.957909289561203,90,ASEAN,NA,NA
2001,0.9647748189516618,90,ASEAN,NA,NA
2002,0.9467834021660111,90,ASEAN,NA,NA
2003,0.9538164747349774,90,ASEAN,NA,NA
2004,0.9374528859576428,90,ASEAN,NA,NA
2005,0.9523619765741866,90,ASEAN,NA,NA
2006,0.9620865200647941,90,ASEAN,NA,NA
2007,0.9598735772442946,90,ASEAN,NA,NA
2008,0.9460735809652665,90,ASEAN,NA,NA
2009,0.9588160390375144,90,ASEAN,NA,NA
2010,0.9679398791989076,90,ASEAN,NA,NA
2011,0.9556896390319912,90,ASEAN,NA,NA
2012,0.9582345259787578,90,ASEAN,NA,NA
2013,0.951908771910754,90,ASEAN,NA,NA
2014,0.9612071235369064,90,ASEAN,NA,NA
2015,0.9581074955028891,90,ASEAN,NA,NA
2016,0.9381484418534723,90,ASEAN,NA,NA
2017,0.9535333615581508,90,ASEAN,NA,NA
2018,0.9215331476825622,90,ASEAN,NA,NA
2019,0.9413858251498981,90,ASEAN,NA,NA
2020,0.9365200827082907,90,ASEAN,NA,NA
2021,0.9364229030079889,90,ASEAN,NA,NA
2022,0.9231329193140285,90,ASEAN,NA,NA
2023,0.939060991927709,90,ASEAN,NA,NA
2024,0.936800283906777,90,ASEAN,NA,NA
